,1,10,30,100,300,1000,3000,10000,30000,100000,300000
425,445,445,445,445,445,445,445,445,445,445,445
450,437,437,437,437,437,437,437,437,419,395,372
475,431,431,431,431,430,429,409,389,352,317,286
500,419,419,419,419,401,381,349,322,285,248,219
525,406,406,388,371,340,307,275,248,226,183,158
550,393,381,350,323,289,268,230,203,173,147,125
575,380,347,311,283,249,223,194,169,142,120,100
600,357,300,266,241,212,185,159,136,112,94,79
625,315,259,229,205,179,155,130,110,89,72,59
650,275,224,199,176,151,129,107,88,70,57,46
675,244,194,170,150,127,108,89,71,57,44,35
700,212,167,147,128,106,89,72,57,45,34,27
725,186,144,127,108,92,76,60,47,36,27,21
750,163,125,109,91,76,63,50,38,29,21,16
775,144,109,94,78,64,52,41,30,23,16,12
800,124,92,79,65,54,42,32,24,18,12,9
