,1,10,30,100,300,1000,3000,10000,30000,100000,300000
425,143,143,143,143,143,143,143,143,143,143,143
450,142,142,142,142,142,142,142,142,142,142,140
475,141,141,141,141,141,141,141,141,140,138,135
500,140,140,140,140,140,139,139,138,134,131,125
525,138,138,138,138,138,136,134,130,126,118,108
550,136,136,135,134,132,128,125,119,113,101,87
575,133,133,131,127,124,119,114,105,95,79,67
600,131,129,126,121,116,110,105,91,75,62,51
625,127,121,118,111,103,94,86,72,59,48,40
650,123,116,108,97,84,72,64,57,48,38,31
675,118,106,94,80,69,58,51,44,38,30,24
700,112,91,78,65,54,46,41,34,28,22,18
725,101,75,63,52,44,36,31,25,21,16,13
750,88,62,51,41,35,29,24,19,16,11,9
775,74,50,40,32,27,23,18,14,12,8,7
800,61,40,32,25,21,17,13,10,8,5,4
